scope,config_name,seed,periods,arms,universes,train_fraction,n_updates,episodes_per_update,learning_rate,gamma,used_pufferlib,final_train_reward_mean_25,n_test_periods,rl_total_reward,train_selected_fixed_arm,train_selected_fixed_total_reward,trailing_window_total_reward,test_best_fixed_arm,test_best_fixed_total_reward,period_oracle_total_reward,random_mean_total_reward,random_p05_total_reward,random_p95_total_reward,rl_vs_train_selected_fixed,rl_vs_trailing_window,rl_vs_test_best_fixed,rl_vs_random_mean,oracle_gap,dominant_chosen_arm,chosen_arm_count
combined,baseline,17,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,320,10,0.03,0.98,True,0.9041014074536651,14,1.2549370857122994,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.12116542776857386,-0.28841376999582313,-0.3797049192544364,-0.02105705284702708,1.331471052562847,cluster_capped_momentum_63_top10|EW,14
combined,baseline,23,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,320,10,0.03,0.98,True,0.912324329074734,14,1.2549370857122994,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.12116542776857386,-0.28841376999582313,-0.3797049192544364,-0.02105705284702708,1.331471052562847,cluster_capped_momentum_63_top10|EW,14
combined,baseline,31,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,320,10,0.03,0.98,True,0.9147026734911415,14,1.0843592751771212,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,-0.049412382766604424,-0.4589915805310014,-0.5502827297896147,-0.19163486338220537,1.5020488630980253,momentum_21_top10|MRH_tau126_k5,9
combined,baseline,43,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,320,10,0.03,0.98,True,0.9117932664694819,14,1.1793932812288404,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.045621623285114765,-0.36395757447928223,-0.4552487237378955,-0.09660085733048618,1.4070148570463061,momentum_21_top10|MRH_tau126_k5,13
combined,aggressive,3,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,420,12,0.06,0.99,True,0.9210941121308618,14,1.2577793006785214,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.12400764273479581,-0.2855715550296012,-0.37686270428821445,-0.018214837880805135,1.328628837596625,cluster_capped_momentum_63_top10|EW,5
combined,aggressive,7,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,420,12,0.06,0.99,True,0.9343956804319107,14,1.153351170476526,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.019579512532800436,-0.38999968523159656,-0.4812908344902098,-0.12264296808280051,1.4330569677986205,momentum_63_top10|EW,7
combined,aggressive,11,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,420,12,0.06,0.99,True,0.9360577129758046,14,1.281113891320274,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.1473422333765484,-0.2622369643878486,-0.35352811364646186,0.005119752760947449,1.3052942469548725,cluster_capped_momentum_63_top10|EW,10
combined,aggressive,17,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,420,12,0.06,0.99,True,0.9323992233386466,14,1.2549370857122994,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.12116542776857386,-0.28841376999582313,-0.3797049192544364,-0.02105705284702708,1.331471052562847,cluster_capped_momentum_63_top10|EW,14
combined,aggressive,23,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,420,12,0.06,0.99,True,0.9376227042309497,14,1.2549370857122994,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.12116542776857386,-0.28841376999582313,-0.3797049192544364,-0.02105705284702708,1.331471052562847,cluster_capped_momentum_63_top10|EW,14
combined,aggressive,31,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,420,12,0.06,0.99,True,0.9233048403970254,14,1.1248317556455731,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,-0.008939902298152447,-0.41851910006254944,-0.5098102493211627,-0.1511623829137534,1.4615763826295733,momentum_21_top10|MRH_tau126_k5,13
combined,aggressive,43,42,20,liquid_us_equity_100;liquid_us_equity_250;liquid_us_equity_500,0.68,420,12,0.06,0.99,True,0.9355133425843816,14,1.16409393819049,momentum_21_top10|MRH_tau126_k5,1.1337716579437256,1.5433508557081226,vol_adjusted_momentum_63_top10|MRH_tau21_k5,1.6346420049667358,2.5864081382751465,1.2759941385593265,0.8786340802907944,1.6512218058109283,0.03032228024676442,-0.3792569175176326,-0.47054806677624583,-0.11190020036883652,1.4223142000846565,momentum_21_top10|MRH_tau126_k5,12
