Date,avg_pairwise_corr,first_pc_share,cross_sectional_dispersion,trend_persistence,vol_level,vol_of_vol,liquidity_proxy,regime_switch_rate
2018-01-02,,,,,,,,
2018-01-03,,,,,,,,
2018-01-04,,,,,,,,
2018-01-05,,,,,,,,
2018-01-08,,,,,,,,
2018-01-09,,,,,,,,
2018-01-10,,,,,,,,
2018-01-11,,,,,,,,
2018-01-12,,,,,,,,
2018-01-16,,,,,,,,
2018-01-17,,,,,,,,
2018-01-18,,,,,,,,
2018-01-19,,,,,,,,
2018-01-22,,,,,,,,
2018-01-23,,,,,,,,
2018-01-24,,,,,,,,
2018-01-25,,,,,,,,
2018-01-26,,,,,,,,
2018-01-29,,,,,,,,
2018-01-30,,,,,,,,
2018-01-31,0.18996665546169902,0.3119906568183986,0.013545774695741877,-0.02538609453410051,0.013833909290061706,0.004494214231785375,,0.42105263157894735
2018-02-01,0.18321352376470665,0.30267829783838107,0.013707815865849711,-0.03831285322087971,0.01396561293437787,0.004445368453119594,,0.45
2018-02-02,0.2607955240821837,0.37292615613914154,0.013916088688394373,-0.052944279793805525,0.015060728197211343,0.004446795327495363,,0.42857142857142855
2018-02-05,0.45227109967327056,0.5062286229299603,0.013884997947422014,0.16413665302767602,0.017504952559378225,0.004351495834538378,,0.4090909090909091
2018-02-06,0.46298515000444257,0.5169978121344357,0.01393920130983245,-0.005926718085517798,0.017912689274425783,0.004267799230068864,,0.43478260869565216
2018-02-07,0.45453050543715157,0.5094322775797052,0.013911959103240184,-0.018964924535669395,0.017727773611138795,0.0041837013714090205,,0.4583333333333333
2018-02-08,0.5345088050307214,0.5785061541685282,0.013901149109062554,-0.001275936581460532,0.019364110643362163,0.00410281275708142,,0.44
2018-02-09,0.5258242711286223,0.569578265131566,0.01396275202814571,-0.07086860746687088,0.019470331897993357,0.004038352795378408,,0.46153846153846156
2018-02-12,0.5316035631920611,0.5741707506752181,0.013917518391595248,-0.04048003389418067,0.019585870785208192,0.003972543072661995,,0.4444444444444444
2018-02-13,0.5301813525666518,0.5723495831627008,0.013647669668522915,-0.030315015286317224,0.019295962201137835,0.0041564210552675635,,0.42857142857142855
2018-02-14,0.5350134907453439,0.5778019398146363,0.013627541154246916,-0.021663835905842442,0.019395792768110504,0.004087997595959538,,0.41379310344827586
2018-02-15,0.5348501695065287,0.5758419942274926,0.013671009926475264,-0.0001817798476539903,0.019461443592019883,0.004028563327944495,,0.4
2018-02-16,0.5280589055264863,0.5699057125028653,0.013659406736102662,-0.00013049851342299774,0.019287614188059955,0.003965643682224095,,0.3870967741935484
2018-02-20,0.5243065595774735,0.5663399146749356,0.013588132354724603,-0.002791463327616277,0.019092185276657382,0.00392585475578888,,0.40625
2018-02-21,0.5244191700548201,0.5658647562918181,0.013414782181538002,0.0008643801417777336,0.018884859237630554,0.003993831606406704,,0.3939393939393939
2018-02-22,0.5203182772571581,0.5618423563583648,0.013277750960606263,-0.0012515407557423847,0.018678518181482594,0.004016639610663472,,0.4117647058823529
2018-02-23,0.5278325492223731,0.567561797731622,0.013132299356987988,0.0005743488945371964,0.018688907404968133,0.004052864400650414,,0.4
2018-02-26,0.5276366127478924,0.5666857122658008,0.013077033346150397,0.014899375624559352,0.018620495255179125,0.00401144957544579,,0.3888888888888889
2018-02-27,0.5273577943457568,0.565603043580273,0.013127958172289109,0.0023756979149639644,0.018670639645681067,0.003970417444168547,,0.40540540540540543
2018-02-28,0.5174033128431907,0.5584401857997713,0.01327683529928324,0.016347760332474093,0.018769651585011184,0.004025202008335713,,0.39473684210526316
2018-03-01,0.5215534811877106,0.5621480863790088,0.013209531106872558,0.03315667605059896,0.018852204581018203,0.0039967310700168715,,0.38461538461538464
2018-03-02,0.5175941195949291,0.5583181009606332,0.013151705488292689,0.030314299065394453,0.018699198370670245,0.00396459392744451,,0.4
2018-03-05,0.5180094355179515,0.5582532948042296,0.01307587960828015,0.027920907408202765,0.01861017978208711,0.0039470873973455394,,0.3902439024390244
